show_id,type,date_added,release_year,rating,duration
s135,Movie,1-Sep-21,1994,PG-13,142 min
s136,Movie,1-Sep-21,1993,R,113 min
s137,Movie,1-Sep-21,2003,R,154 min
s138,Movie,1-Sep-21,2001,PG,95 min
s139,Movie,1-Sep-21,2010,PG-13,108 min
s140,Movie,1-Sep-21,1989,R,120 min
s141,Movie,1-Sep-21,2014,TV-MA,100 min
s142,Movie,1-Sep-21,2015,R,82 min
s143,Movie,1-Sep-21,2007,PG-13,124 min
s144,Movie,1-Sep-21,2011,PG-13,114 min
s145,Movie,1-Sep-21,1990,R,104 min
s146,Movie,1-Sep-21,1991,R,94 min
s147,Movie,1-Sep-21,1994,R,94 min
s148,TV Show,1-Sep-21,2021,TV-PG,1 Season
s149,TV Show,1-Sep-21,2020,TV-14,1 Season
s150,Movie,1-Sep-21,1998,R,93 min
s151,Movie,1-Sep-21,1999,R,97 min
s152,Movie,1-Sep-21,2005,TV-14,109 min
s153,Movie,1-Sep-21,2016,TV-MA,88 min
s154,TV Show,1-Sep-21,2016,TV-Y,2 Seasons
s155,TV Show,1-Sep-21,2015,TV-MA,3 Seasons
s156,Movie,1-Sep-21,1986,PG,101 min
s157,Movie,1-Sep-21,2010,PG,105 min
s158,Movie,1-Sep-21,2018,TV-14,102 min
s159,Movie,1-Sep-21,2003,PG-13,101 min
s160,Movie,1-Sep-21,2010,TV-MA,103 min
s161,TV Show,1-Sep-21,1992,TV-PG,4 Seasons
s162,Movie,1-Sep-21,1996,PG-13,106 min
s163,Movie,1-Sep-21,2017,PG-13,118 min
s164,Movie,1-Sep-21,2003,R,86 min
s165,Movie,1-Sep-21,1999,PG-13,121 min
s166,TV Show,1-Sep-21,2019,TV-MA,1 Season
s167,Movie,1-Sep-21,1984,R,229 min
s168,Movie,1-Sep-21,2008,PG,76 min
s169,Movie,1-Sep-21,2001,PG,95 min
s170,Movie,1-Sep-21,2006,PG-13,98 min
s171,Movie,1-Sep-21,1997,R,89 min
s172,Movie,1-Sep-21,2017,PG-13,120 min
s173,Movie,1-Sep-21,2003,PG-13,110 min
s174,Movie,1-Sep-21,2015,PG-13,83 min
s175,Movie,1-Sep-21,2003,R,121 min
s176,Movie,1-Sep-21,1980,R,105 min
s177,Movie,1-Sep-21,1986,PG-13,94 min
s178,Movie,1-Sep-21,1961,TV-14,156 min
s179,Movie,1-Sep-21,2014,R,112 min
s180,Movie,1-Sep-21,1996,PG-13,95 min
s181,Movie,1-Sep-21,2000,PG-13,107 min
s182,TV Show,1-Sep-21,2021,TV-14,1 Season
s183,Movie,1-Sep-21,2008,PG-13,114 min
s184,Movie,31-Aug-21,1993,R,129 min
s185,TV Show,31-Aug-21,2021,TV-PG,1 Season
s186,Movie,31-Aug-21,2021,TV-MA,86 min
s187,TV Show,29-Aug-21,2021,TV-14,1 Season
s188,TV Show,29-Aug-21,2021,TV-G,1 Season
s189,Movie,28-Aug-21,2008,TV-MA,97 min
s190,TV Show,28-Aug-21,2020,TV-Y,2 Seasons
s191,Movie,28-Aug-21,2021,TV-14,125 min
s192,Movie,28-Aug-21,2017,R,107 min
s193,Movie,27-Aug-21,2008,TV-14,127 min
s194,TV Show,27-Aug-21,2021,TV-MA,1 Season
s195,TV Show,27-Aug-21,2002,TV-MA,1 Season
s196,Movie,27-Aug-21,2008,TV-14,128 min
s197,Movie,27-Aug-21,2021,TV-14,92 min
s198,TV Show,27-Aug-21,2021,TV-Y7,1 Season
s199,TV Show,27-Aug-21,2021,TV-MA,1 Season
s200,Movie,27-Aug-21,2006,TV-14,135 min
s201,Movie,27-Aug-21,2004,TV-14,124 min
s202,Movie,27-Aug-21,2003,TV-14,136 min
s203,Movie,27-Aug-21,2005,TV-MA,165 min
s204,Movie,27-Aug-21,2016,TV-MA,124 min
s205,Movie,27-Aug-21,2012,TV-MA,136 min
s206,Movie,27-Aug-21,2001,TV-14,150 min
s207,Movie,27-Aug-21,2010,TV-MA,112 min
s208,Movie,27-Aug-21,2008,TV-14,119 min
s209,Movie,27-Aug-21,2010,TV-14,133 min
s210,Movie,27-Aug-21,2013,TV-14,142 min
s211,Movie,27-Aug-21,2011,TV-MA,93 min
s212,Movie,27-Aug-21,2014,TV-MA,113 min
s213,TV Show,27-Aug-21,2016,TV-MA,2 Seasons
s214,TV Show,27-Aug-21,2021,TV-PG,3 Seasons
s215,Movie,27-Aug-21,2021,R,124 min
s216,Movie,27-Aug-21,2007,TV-MA,116 min
s217,Movie,27-Aug-21,2011,TV-14,106 min
s218,Movie,27-Aug-21,2011,TV-14,145 min
s219,TV Show,27-Aug-21,2021,TV-14,1 Season
s220,TV Show,26-Aug-21,2021,TV-14,1 Season
s221,TV Show,26-Aug-21,2021,TV-PG,4 Seasons
s222,Movie,25-Aug-21,2021,TV-14,93 min
s223,TV Show,25-Aug-21,2021,TV-MA,1 Season
s224,TV Show,25-Aug-21,2021,TV-MA,1 Season
s225,TV Show,25-Aug-21,2021,TV-14,1 Season
s226,TV Show,25-Aug-21,2021,TV-MA,1 Season
s227,TV Show,25-Aug-21,2021,TV-MA,1 Season
s228,Movie,25-Aug-21,2020,TV-MA,95 min
s229,Movie,25-Aug-21,2014,R,108 min
s230,Movie,25-Aug-21,2020,TV-MA,90 min
s231,Movie,25-Aug-21,2021,TV-MA,86 min
s232,Movie,25-Aug-21,2021,PG,92 min
s233,TV Show,25-Aug-21,2019,TV-G,3 Seasons
s234,Movie,24-Aug-21,2021,TV-MA,82 min
s235,TV Show,24-Aug-21,2021,TV-Y,1 Season
s236,Movie,24-Aug-21,2021,TV-PG,70 min
s237,Movie,23-Aug-21,2021,TV-14,122 min
s238,Movie,23-Aug-21,2021,TV-14,122 min
s239,Movie,23-Aug-21,2021,TV-14,122 min
s240,Movie,23-Aug-21,2021,TV-14,122 min
s241,Movie,23-Aug-21,2021,TV-MA,84 min
s242,TV Show,21-Aug-21,2021,TV-14,3 Seasons
s243,TV Show,20-Aug-21,2021,TV-MA,1 Season
s244,TV Show,20-Aug-21,2021,TV-MA,1 Season
s245,Movie,20-Aug-21,2018,TV-14,96 min
s246,TV Show,20-Aug-21,2021,TV-PG,1 Season
s247,Movie,20-Aug-21,2021,TV-MA,115 min
s248,Movie,20-Aug-21,2021,R,110 min
s249,TV Show,20-Aug-21,2021,TV-MA,1 Season
s250,Movie,20-Aug-21,2021,TV-Y7,88 min
s251,Movie,19-Aug-21,2020,TV-PG,102 min
s252,Movie,19-Aug-21,2011,PG-13,91 min
s253,Movie,18-Aug-21,2021,TV-MA,105 min
s254,Movie,18-Aug-21,1995,TV-14,135 min
s255,TV Show,18-Aug-21,2021,TV-Y,5 Seasons
s256,Movie,18-Aug-21,2021,TV-MA,86 min
s257,Movie,18-Aug-21,2020,TV-14,140 min
s258,Movie,18-Aug-21,2015,TV-14,133 min
s259,Movie,18-Aug-21,2020,TV-MA,92 min
s260,Movie,18-Aug-21,2018,TV-PG,82 min
s261,TV Show,18-Aug-21,2020,TV-MA,1 Season
s262,Movie,18-Aug-21,2021,TV-14,97 min
s263,Movie,18-Aug-21,2021,TV-MA,78 min
s264,TV Show,16-Aug-21,2016,TV-Y,2 Seasons
s265,Movie,16-Aug-21,2014,R,94 min
s266,TV Show,15-Aug-21,2018,TV-14,1 Season
s267,TV Show,15-Aug-21,2020,TV-MA,1 Season
s268,Movie,15-Aug-21,1993,R,121 min
s269,Movie,15-Aug-21,2020,TV-MA,97 min
s270,TV Show,15-Aug-21,2015,TV-Y7,2 Seasons
s271,Movie,13-Aug-21,2021,TV-MA,110 min
s272,TV Show,13-Aug-21,2021,TV-MA,1 Season
s273,TV Show,13-Aug-21,2021,TV-Y7,5 Seasons
s274,TV Show,13-Aug-21,2021,TV-MA,1 Season
s275,TV Show,13-Aug-21,2021,TV-MA,7 Seasons
s276,TV Show,13-Aug-21,2021,TV-MA,1 Season
s277,TV Show,13-Aug-21,2021,TV-MA,2 Seasons
s278,TV Show,12-Aug-21,2021,TV-14,1 Season
s279,Movie,12-Aug-21,2021,TV-MA,64 min
s280,Movie,12-Aug-21,2021,TV-PG,59 min
s281,TV Show,11-Aug-21,2021,TV-PG,1 Season
s282,Movie,11-Aug-21,2016,TV-14,101 min
s283,Movie,11-Aug-21,2020,TV-MA,127 min
s284,Movie,11-Aug-21,2021,PG-13,90 min
s285,Movie,11-Aug-21,2021,TV-14,114 min
s286,Movie,11-Aug-21,2013,R,108 min
s287,TV Show,10-Aug-21,2021,TV-Y,2 Seasons
s288,TV Show,10-Aug-21,2021,TV-14,1 Season
s289,TV Show,10-Aug-21,2018,TV-MA,1 Season
s290,TV Show,10-Aug-21,2019,TV-14,1 Season
s291,Movie,10-Aug-21,2021,TV-MA,70 min
s292,TV Show,9-Aug-21,2021,TV-14,1 Season
s293,Movie,8-Aug-21,2012,PG-13,98 min
s294,Movie,8-Aug-21,2021,TV-MA,86 min
s295,Movie,7-Aug-21,2020,TV-PG,139 min
s296,Movie,7-Aug-21,2021,PG-13,111 min
s297,TV Show,6-Aug-21,2021,TV-MA,1 Season
s298,TV Show,6-Aug-21,2021,TV-MA,1 Season
s299,Movie,6-Aug-21,2020,TV-MA,115 min
s300,Movie,6-Aug-21,2021,TV-14,102 min
s301,Movie,6-Aug-21,2021,PG,100 min
s302,Movie,5-Aug-21,2013,TV-14,135 min
s303,Movie,5-Aug-21,2013,TV-MA,69 min
s304,Movie,5-Aug-21,1985,TV-MA,95 min
s305,Movie,5-Aug-21,2021,TV-14,97 min
s306,Movie,5-Aug-21,1993,TV-MA,124 min
s307,Movie,4-Aug-21,2016,TV-PG,118 min
s308,Movie,4-Aug-21,2021,TV-MA,115 min
s309,Movie,4-Aug-21,2012,TV-MA,115 min
s310,TV Show,4-Aug-21,2021,TV-PG,3 Seasons
s311,TV Show,4-Aug-21,2021,TV-MA,1 Season
s312,TV Show,4-Aug-21,2021,TV-MA,2 Seasons
s313,TV Show,4-Aug-21,2021,TV-MA,1 Season
s314,TV Show,3-Aug-21,2009,TV-14,1 Season
s315,Movie,3-Aug-21,1995,R,104 min
s316,Movie,3-Aug-21,2010,TV-MA,106 min
s317,TV Show,3-Aug-21,2011,TV-14,1 Season
s318,Movie,3-Aug-21,2021,PG-13,102 min
s319,Movie,3-Aug-21,2021,TV-MA,97 min
s320,TV Show,3-Aug-21,2005,TV-14,1 Season
s321,TV Show,3-Aug-21,2021,TV-PG,1 Season
s322,TV Show,3-Aug-21,2013,TV-14,1 Season
s323,TV Show,3-Aug-21,2008,TV-MA,1 Season
s324,TV Show,1-Aug-21,2012,TV-14,7 Seasons
s325,TV Show,1-Aug-21,2020,TV-Y7,3 Seasons
s326,Movie,1-Aug-21,1992,PG,87 min
s327,Movie,1-Aug-21,1993,PG,88 min
s328,Movie,1-Aug-21,2007,PG-13,114 min
s329,Movie,1-Aug-21,2016,R,90 min
s330,Movie,1-Aug-21,2002,PG-13,142 min
s331,Movie,1-Aug-21,2009,PG,90 min
s332,TV Show,1-Aug-21,2020,TV-MA,1 Season
s333,Movie,1-Aug-21,1999,R,105 min
s334,Movie,1-Aug-21,1986,PG-13,103 min
s335,Movie,1-Aug-21,2019,PG-13,116 min
s336,Movie,1-Aug-21,2006,R,113 min
s337,TV Show,1-Aug-21,2010,TV-14,5 Seasons
s338,Movie,1-Aug-21,2007,R,99 min
s339,TV Show,1-Aug-21,2014,TV-14,6 Seasons
s340,Movie,1-Aug-21,2021,TV-14,96 min
s341,Movie,1-Aug-21,2010,PG-13,148 min
s342,Movie,1-Aug-21,1999,R,189 min
s343,Movie,1-Aug-21,1995,PG-13,97 min
s344,Movie,1-Aug-21,1991,PG-13,102 min
s345,Movie,1-Aug-21,1994,PG,99 min
s346,Movie,1-Aug-21,2015,PG,85 min
s347,Movie,1-Aug-21,2008,R,112 min
s348,Movie,1-Aug-21,2009,PG,91 min
s349,Movie,1-Aug-21,2019,PG-13,91 min
s350,Movie,1-Aug-21,2003,PG-13,141 min
s351,Movie,1-Aug-21,2000,PG-13,130 min
s352,Movie,1-Aug-21,2004,R,98 min
s353,Movie,1-Aug-21,2016,R,105 min
s354,Movie,1-Aug-21,2013,R,101 min
s355,Movie,1-Aug-21,1991,R,105 min
s356,Movie,1-Aug-21,2011,R,118 min
s357,Movie,1-Aug-21,2010,PG-13,97 min
s358,Movie,1-Aug-21,2004,R,102 min
s359,Movie,1-Aug-21,1995,PG-13,114 min
s360,Movie,1-Aug-21,2000,R,111 min
s361,Movie,1-Aug-21,2010,PG-13,125 min
s362,TV Show,31-Jul-21,2021,TV-14,3 Seasons
s363,Movie,31-Jul-21,2018,TV-14,76 min
s364,Movie,31-Jul-21,2021,R,118 min
s365,TV Show,30-Jul-21,2021,TV-Y7,1 Season
s366,Movie,30-Jul-21,2014,TV-14,103 min
s367,TV Show,30-Jul-21,2021,TV-14,3 Seasons
s368,Movie,30-Jul-21,2020,TV-14,114 min
s369,TV Show,30-Jul-21,2009,TV-14,1 Season
s370,TV Show,30-Jul-21,2021,TV-14,1 Season
s371,TV Show,30-Jul-21,2021,TV-MA,2 Seasons
s372,Movie,30-Jul-21,2009,TV-14,95 min
s373,Movie,30-Jul-21,2021,TV-MA,138 min
s374,Movie,30-Jul-21,2021,TV-MA,112 min
s375,Movie,29-Jul-21,2013,TV-PG,94 min
s376,Movie,29-Jul-21,2021,TV-14,102 min
s377,TV Show,29-Jul-21,2021,TV-Y7,1 Season
s378,Movie,28-Jul-21,2021,TV-MA,92 min
s379,Movie,28-Jul-21,2019,TV-14,81 min
s380,TV Show,28-Jul-21,2021,TV-MA,1 Season
s381,TV Show,28-Jul-21,2021,TV-14,7 Seasons
s382,TV Show,28-Jul-21,2021,TV-MA,1 Season
s383,TV Show,27-Jul-21,2021,TV-14,3 Seasons
s384,Movie,27-Jul-21,2012,TV-MA,143 min
s385,Movie,27-Jul-21,2021,TV-14,86 min
s386,TV Show,27-Jul-21,2021,TV-MA,3 Seasons
s387,TV Show,27-Jul-21,2021,TV-Y,4 Seasons
s388,Movie,27-Jul-21,2021,TV-14,132 min
s389,TV Show,27-Jul-21,2021,TV-MA,1 Season
s390,Movie,27-Jul-21,2019,TV-MA,117 min
s391,TV Show,26-Jul-21,2019,TV-MA,10 Seasons
s392,TV Show,26-Jul-21,2020,TV-MA,4 Seasons
s393,Movie,24-Jul-21,2012,R,165 min
s394,Movie,23-Jul-21,2021,PG,91 min
s395,Movie,23-Jul-21,2021,TV-MA,97 min
s396,Movie,23-Jul-21,2021,TV-MA,97 min
s397,Movie,23-Jul-21,2021,TV-MA,123 min
s398,TV Show,23-Jul-21,2021,TV-MA,1 Season
s399,Movie,23-Jul-21,2021,TV-MA,94 min
s400,TV Show,23-Jul-21,2021,TV-PG,1 Season
s401,TV Show,23-Jul-21,2021,TV-PG,1 Season
s402,TV Show,23-Jul-21,2021,TV-MA,2 Seasons
s403,Movie,23-Jul-21,2021,TV-MA,111 min
s404,TV Show,23-Jul-21,2021,TV-MA,2 Seasons
s405,Movie,22-Jul-21,2021,TV-MA,85 min
s406,Movie,22-Jul-21,2015,TV-Y,65 min
s407,Movie,22-Jul-21,2013,TV-Y7,64 min
s408,Movie,22-Jul-21,2009,TV-Y7,68 min
s409,Movie,22-Jul-21,2011,TV-Y7,67 min
s410,Movie,22-Jul-21,2010,TV-Y7,66 min
s411,Movie,22-Jul-21,2013,TV-Y7,64 min
s412,Movie,22-Jul-21,2013,TV-Y7,64 min
s413,Movie,22-Jul-21,2013,TV-Y7,65 min
s414,Movie,22-Jul-21,2013,TV-Y7,64 min
s415,Movie,22-Jul-21,2012,TV-Y7,68 min
s416,Movie,22-Jul-21,2009,TV-Y7,68 min
s417,Movie,22-Jul-21,2013,TV-Y7,64 min
s418,Movie,22-Jul-21,2015,TV-Y7,62 min
s419,Movie,22-Jul-21,2019,TV-Y,63 min
s420,Movie,22-Jul-21,2010,TV-Y7,69 min
s421,Movie,22-Jul-21,2012,TV-Y7,70 min
s422,Movie,22-Jul-21,2014,TV-Y7,63 min
s423,Movie,22-Jul-21,2011,TV-Y7,68 min
s424,Movie,22-Jul-21,2011,TV-Y7,74 min
s425,Movie,22-Jul-21,2012,TV-Y7,68 min
s426,TV Show,22-Jul-21,2019,TV-14,5 Seasons
s427,Movie,22-Jul-21,2021,TV-MA,99 min
s428,Movie,22-Jul-21,2019,TV-14,90 min
s429,Movie,22-Jul-21,2021,TV-G,87 min
s430,Movie,21-Jul-21,2020,TV-14,105 min
s431,TV Show,21-Jul-21,2021,TV-14,1 Season
s432,TV Show,21-Jul-21,2021,TV-MA,1 Season
s433,Movie,21-Jul-21,2021,TV-Y7,106 min
s434,Movie,20-Jul-21,2020,TV-MA,102 min
s435,TV Show,20-Jul-21,2020,TV-MA,1 Season
s436,TV Show,20-Jul-21,2019,TV-MA,1 Season
s437,Movie,19-Jul-21,2021,TV-14,91 min
s438,Movie,17-Jul-21,2021,R,88 min
s439,Movie,16-Jul-21,2020,TV-PG,107 min
s440,Movie,16-Jul-21,2021,TV-MA,101 min
s441,TV Show,16-Jul-21,2021,TV-MA,3 Seasons
s442,Movie,16-Jul-21,2021,R,114 min
s443,TV Show,16-Jul-21,2021,TV-Y7,1 Season
s444,Movie,16-Jul-21,1999,R,123 min
s445,TV Show,16-Jul-21,2021,TV-14,1 Season
s446,Movie,16-Jul-21,2017,R,94 min
s447,Movie,16-Jul-21,2017,PG-13,105 min
s448,Movie,16-Jul-21,2011,PG-13,117 min
s449,Movie,16-Jul-21,2012,PG-13,115 min
s450,Movie,16-Jul-21,2010,PG-13,124 min
s451,Movie,16-Jul-21,2009,PG-13,131 min
s452,Movie,16-Jul-21,2008,PG-13,122 min
s453,Movie,15-Jul-21,2021,TV-PG,113 min
s454,TV Show,15-Jul-21,2021,TV-MA,2 Seasons
s455,Movie,15-Jul-21,1983,TV-MA,91 min
s456,Movie,15-Jul-21,2021,TV-MA,100 min
s457,TV Show,15-Jul-21,2019,TV-14,1 Season
s458,Movie,15-Jul-21,2021,TV-PG,93 min
s459,Movie,15-Jul-21,2021,TV-14,90 min
s460,TV Show,15-Jul-21,2021,TV-14,2 Seasons
s461,Movie,15-Jul-21,2007,PG,86 min
s462,Movie,15-Jul-21,2019,TV-14,100 min
s463,Movie,15-Jul-21,2019,TV-MA,96 min
s464,Movie,14-Jul-21,2021,TV-MA,95 min
s465,Movie,14-Jul-21,2021,R,115 min
s466,TV Show,14-Jul-21,2021,TV-MA,1 Season
s467,TV Show,14-Jul-21,2021,TV-MA,1 Season
s468,Movie,14-Jul-21,2021,TV-MA,100 min
s469,Movie,14-Jul-21,2021,TV-MA,102 min
s470,Movie,13-Jul-21,2019,TV-MA,87 min
s471,Movie,13-Jul-21,2021,TV-14,39 min
s472,Movie,13-Jul-21,2021,TV-PG,110 min
s473,TV Show,13-Jul-21,2021,TV-Y,1 Season
s474,Movie,12-Jul-21,2020,TV-MA,93 min
s475,Movie,10-Jul-21,2015,R,96 min
s476,Movie,10-Jul-21,2019,TV-MA,93 min
s477,Movie,10-Jul-21,2016,TV-MA,93 min
s478,TV Show,9-Jul-21,2021,TV-14,4 Seasons
s479,TV Show,9-Jul-21,2021,TV-MA,2 Seasons
s480,Movie,9-Jul-21,2021,R,111 min
s481,Movie,9-Jul-21,2020,TV-14,105 min
s482,Movie,9-Jul-21,2021,TV-MA,101 min
s483,TV Show,9-Jul-21,2021,TV-MA,1 Season
s484,Movie,9-Jul-21,2021,TV-MA,102 min
s485,Movie,9-Jul-21,2021,TV-G,46 min
s486,Movie,9-Jul-21,2021,TV-14,89 min
s487,Movie,9-Jul-21,2016,PG,94 min
s488,TV Show,9-Jul-21,2021,TV-MA,1 Season
s489,TV Show,9-Jul-21,2021,TV-14,3 Seasons
s490,Movie,8-Jul-21,2017,TV-14,104 min
s491,TV Show,8-Jul-21,2021,TV-MA,1 Season
s492,Movie,8-Jul-21,2017,PG-13,97 min
s493,Movie,8-Jul-21,2018,PG-13,91 min
s494,TV Show,8-Jul-21,2021,TV-MA,1 Season
s495,Movie,8-Jul-21,2015,R,106 min
s496,Movie,7-Jul-21,2019,TV-MA,38 min
